repo,created_at,age_days,merged_pull_requests,total_releases,updated_at,time_since_update_days,primary_language,closed_issues,open_issues,total_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,3017,157,0,2026-08-13T10:58:14Z,0,Markdown,677,265,942,0.7186836518046709
sindresorhus/awesome,2014-07-11T13:42:37Z,4415,700,0,2026-08-13T11:06:09Z,0,,352,16,368,0.9565217391304348
public-apis/public-apis,2016-03-20T23:49:42Z,3797,2119,0,2026-08-13T11:08:26Z,0,Python,911,10,921,0.98914223669924
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,4249,29083,0,2026-08-13T11:08:17Z,0,TypeScript,21881,173,22054,0.9921556180284755
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,4689,7417,0,2026-08-13T11:06:24Z,0,Python,1254,38,1292,0.9705882352941176
openclaw/openclaw,2025-11-24T10:16:47Z,262,24535,233,2026-08-13T11:05:51Z,0,TypeScript,43498,3404,46902,0.9274231376060722
nilbuild/developer-roadmap,2017-03-15T13:45:52Z,3437,4388,1,2026-08-13T11:03:22Z,0,TypeScript,3183,1,3184,0.9996859296482412
donnemartin/system-design-primer,2017-02-26T16:15:28Z,3454,210,0,2026-08-13T11:07:52Z,0,Python,127,272,399,0.3182957393483709
jwasham/coding-interview-university,2016-06-06T02:34:12Z,3720,415,0,2026-08-13T11:06:58Z,0,,455,81,536,0.8488805970149254
vinta/awesome-python,2014-06-27T21:00:06Z,4429,738,0,2026-08-13T11:06:30Z,0,Python,0,0,0,
